2406	8	1.06	36	-1.1106
2407	8	1.11	39	-1.0355
2501	9	1.17	43	-0.9004
2502	8	1.23	47	-0.8744
2503	10	1.31	52	-0.9067
2505	11	1.31	52	-0.8723
2506	10	1.35	55	-0.903
2507	10	1.32	53	-0.8616
2508	10	1.38	57	-0.8491
2509	11	1.38	57	-0.848
2601	7	1.16	42	-0.8511
2602	7	1.05	35	-0.8481
2603	7	1.25	48	-0.7701
2604	7	1.9	87	-0.7618
2701	6	0.98	30	-0.9827
2702	6	1.09	38	-0.949
2801	6	1.28	50	-0.8617
2802	6	1.35	55	-0.8342
2803	6	1.35	55	-0.8292
2901	7	1.19	44	-0.7212
2902	7	1.05	35	-0.7292
2903	7	1.43	60	-0.7089
2904	7	1.16	42	-0.672
2905	7	1.48	63	-0.6669
2906	7	1.16	42	-0.6694
2907	7	1.61	71	-0.6745
2908	7	1.67	74	-0.6346
3001	6	1.09	38	-0.92
3002	6	1	32	-0.9004
3003	6	0.99	31	-0.9657
3004	6	1.31	52	-0.8847
3005	6	1.2	45	-0.8847
3006	6	1.11	39	-0.9325
3007	6	1.09	38	-0.9713
3008	6	1.09	38	-0.9827
3009	6	1.16	42	-0.9325
3010	6	1.17	43	-0.9217
3101	6	1.4	58	-0.7132
3102	6	1.29	51	-0.7346
3103	6	1.63	72	-0.731
3104	6	1.67	74	-0.7221
3105	6	1.74	78	-0.7045
3106	6	1.83	83	-0.6937
3107	6	1.81	82	-0.7089
3108	6	1.7	76	-0.731
3201	6	1.02	33	-1.1303
3202	7	1.02	33	-1.1237
3203	7	1.02	33	-1.1171
3204	8	1.05	35	-1.0913
3205	8	1.05	35	-1.0818
3206	8	1.08	37	-1.0786
3207	8	1.06	36	-1.0538
3208	8	1.09	38	-1.0599
3209	8	1.09	38	-1.0446
3301	9	1.28	50	-0.88
3302	9	1.28	50	-0.88
3303	8	1.23	47	-0.8
3304	8	1.29	51	-0.8491
3305	9	1.32	53	-0.844
3306	8	1.25	48	-0.859
3307	9	1.25	48	-0.86
3308	8	1.37	56	-0.823
3309	9	1.42	59	-0.81
3310	7	1.32	53	-0.829
3401	8	1.55	67	-0.74
3402	7	1.72	77	-0.7426
3403	6	1.7	76	-0.7177
3404	7	1.74	78	-0.7133
3405	7	1.77	80	-0.7355
3406	5	1.79	81	-0.7106
3407	7	1.85	84	-0.6924
3408	7	1.88	86	-0.6873
3409	7	1.85	84	-0.6916
3501	7	1.16	42	-0.9691
3502	7	1.17	43	-0.9913
3503	7	1.2	45	-0.9293
3504	7	1.05	35	-0.993
3505	7	0.86	22	-0.9325
3506	7	1.19	44	-1.0141
3507	7	1.02	33	-0.9489
3508	7	1	32	-1
3509	7	1.19	44	-0.9434
3601	6	1.14	41	-0.8821
3602	6	1.25	48	-0.8617
3603	6	1.35	55	-0.849
3604	6	1.34	54	-0.8391
3605	6	1.26	49	-0.8541
3606	6	1.13	40	-0.8847
3607	6	1.16	42	-0.8693
3608	6	1.22	46	-0.8491
3609	6	1.25	48	-0.8516
3610	6	1.16	42	-0.8847
3701	6	1.2	45	-0.8243
3801	6	1.43	60	-0.6976
3802	6	1.72	77	-0.6958
3803	6	1.79	81	-0.6915
3804	6	1.88	86	-0.6745
3805	6	1.87	85	-0.6703
3806	6	1.92	88	-0.666
3807	6	2.03	93	-0.6494
3901	8	1.13	40	-1
3902	8	1.16	42	-1.0176
3903	8	1.14	41	-1.0176
3904	8	1.08	37	-0.9545
3905	8	1.2	45	-0.9656
3906	8	1.23	47	-0.9741
3907	8	1.17	43	-0.9827
3908	6	1.26	49	-0.9434
3909	8	1.26	49	-0.9489
4001	6	1.56	68	-0.7132
4002	6	1.51	65	-0.7212
4003	9	1.63	72	-0.723
4004	4	1.7	76	-0.5831
4101	6	1.61	71	-0.6745
4102	7	1.92	88	-0.6453
4103	7	2.05	94	-0.6371
4104	7	2.09	96	-0.6249
4105	7	1.9	87	-0.6009
4106	5	2.11	97	-0.5891
4107	8	2.42	110	-0.5658
4108	7	2.37	108	-0.5581
4109	8	2.66	119	-0.5243
4110	8	2.87	126	-0.4913
4201	7	1.19	44	-0.8302
4202	7	1.74	78	-0.759
4203	7	1.23	47	-0.8632
4204	7	1.13	40	-0.7926
4205	7	0.96	29	-0.8601
4206	7	1.13	40	-0.8391
4207	7	1.29	51	-0.7926
4301	6	1.02	33	-0.9827
4302	6	1.11	39	-0.966
4303	6	1.03	34	-0.9435
4401	6	1.58	69	-0.7627
4402	6	1.53	66	-0.7673
4403	6	1.51	65	-0.7627
4404	6	1.38	57	-0.8002
4405	6	1.37	56	-0.8002
4406	6	1.32	53	-0.7536
4501	7	1.06	36	-1.0837
4502	7	1.06	36	-1.1263
4503	7	1.13	40	-1.0958
4504	7	1.09	38	-1.099
4505	7	0.89	24	-1.0875
4506	7	0.99	31	-1.0875
4507	7	1.13	40	-1.1145
4508	7	1.25	48	-1.0599
4509	7	1.03	34	-1.1184
4510	7	1.14	41	-1.0612
4601	6	1.35	55	-0.8243
4602	6	1.43	60	-0.7954
4603	6	1.34	54	-0.8122
4604	6	1.17	43	-0.7954
4605	6	1.32	53	-0.7694
4606	6	1.32	53	-0.8098
4701	7	1.05	35	-1.0355
4702	8	1.03	34	-1.0176
4703	8	1.06	36	-1.0105
4704	8	1.16	42	-0.9741
4705	9	1.13	40	-0.9742
4706	8	1.13	40	-0.9713
4707	8	1.2	45	-0.9407
4708	8	1.2	45	-0.9379
4709	9	1.19	44	-0.9352
4801	7	0.84	21	-0.9896
4802	7	0.84	21	-0.949
4803	7	0.92	26	-0.9099
4804	8	1.06	36	-0.9663
4805	8	1.03	34	-0.9656
4806	8	1.08	37	-0.9827
4807	8	1.09	38	-0.9489
4808	8	1.09	38	-0.9331
4809	8	1.03	34	-0.9004
4810	8	0.93	27	-0.9009
